. Sequence file : [all_organisms_full.phylip]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.21970   0.62071   0.09225  -0.93266  

  #29	12   	-1984.09698	Yes        	4        	4.000    	0.000    	 0.27021   0.23425   0.25515   0.24039	-0.92177   0.37244   0.33444   0.21489  
      	     	          	           	          	           	             	                                      	 0.42963  -1.27297   0.17496   0.66839  
      	     	          	           	          	           	             	                                      	 0.35418   0.16062  -0.72401   0.20920  
      	     	          	           	          	           	             	                                      	 0.24154   0.65129   0.22204  -1.11487  

  #30	12   	-1915.00459	Yes        	4        	4.000    	0.000    	 0.28466   0.17301   0.29417   0.24816	-1.01110   0.39401   0.40205   0.21504  
      	     	          	           	          	           	             	                                      	 0.64830  -1.57876   0.19469   0.73578  
      	     	          	           	          	           	             	                                      	 0.38905   0.11450  -0.67760   0.17405  
      	     	          	           	          	           	             	                                      	 0.24668   0.51295   0.20632  -0.96595  

  #31	12   	-2005.97756	Yes        	4        	4.000    	0.000    	 0.26740   0.23766   0.25790   0.23704	-0.99858   0.32095   0.39695   0.28067  
      	     	          	           	          	           	             	                                      	 0.36112  -1.23415   0.25780   0.61522  
      	     	          	           	          	           	             	                                      	 0.41158   0.23757  -0.74802   0.09887  
      	     	          	           	          	           	             	                                      	 0.31662   0.61682   0.10757  -1.04100  

  #32	12   	-1879.53557	Yes        	4        	4.000    	0.000    	 0.26313   0.22076   0.28707   0.22905	-0.97173   0.38750   0.43071   0.15352  
      	     	          	           	          	           	             	                                      	 0.46188  -1.42624   0.29467   0.66970  
      	     	          	           	          	           	             	                                      	 0.39478   0.22659  -0.73084   0.10947  
      	     	          	           	          	           	             	                                      	 0.17636   0.64546   0.13720  -0.95902  

  #33	12   	-2033.50135	Yes        	4        	4.000    	0.000    	 0.24501   0.24378   0.26251   0.24870	-1.12579   0.38443   0.49389   0.24747  
      	     	          	           	          	           	             	                                      	 0.38637  -1.13231   0.23864   0.50730  
      	     	          	           	          	           	             	                                      	 0.46096   0.22161  -0.84379   0.16121  
      	     	          	           	          	           	             	                                      	 0.24381   0.49728   0.17017  -0.91126  

  #34	12   	-2053.90918	Yes        	4        	4.000    	0.000    	 0.26006   0.22628   0.24900   0.26466	-0.96777   0.30208   0.45310   0.21258  
      	     	          	           	          	           	             	                                      	 0.34717  -1.22860   0.25507   0.62636  
      	     	          	           	          	           	             	                                      	 0.47322   0.23180  -0.90129   0.19628  
      	     	          	           	          	           	             	                                      	 0.20889   0.53553   0.18466  -0.92908  

  #35	12   	-1838.70511	Yes        	4        	4.000    	0.000    	 0.26603   0.18871   0.27493   0.27033	-0.97562   0.30441   0.50870   0.16251  
      	     	          	           	          	           	             	                                      	 0.42914  -1.52186   0.43496   0.65776  
      	     	          	           	          	           	             	                                      	 0.49223   0.29855  -0.91535   0.12457  
      	     	          	           	          	           	             	                                      	 0.15993   0.45916   0.12669  -0.74578  

  #36	12   	-1812.89635	Yes        	4        	4.000    	0.000    	 0.24163   0.18975   0.29137   0.27725	-1.07075   0.30373   0.47156   0.29545  
      	     	          	           	          	           	             	                                      	 0.38679  -1.35102   0.25636   0.70786  
      	     	          	           	          	           	             	                                      	 0.39107   0.16695  -0.75815   0.20014  
      	     	          	           	          	           	             	                                      	 0.25750   0.48445   0.21033  -0.95228  

  #37	12   	-1938.25533	Yes        	4        	4.000    	0.000    	 0.25192   0.22890   0.23872   0.28045	-0.98237   0.34052   0.42194   0.21992  
      	     	          	           	          	           	             	                                      	 0.37475  -1.26891   0.23522   0.65894  
      	     	          	           	          	           	             	                                      	 0.44526   0.22554  -0.87123   0.20043  
      	     	          	           	          	           	             	                                      	 0.19754   0.53782   0.17060  -0.90597  

  #38	12   	-2023.50184	Yes        	4        	4.000    	0.000    	 0.20074   0.24303   0.26816   0.28808	-1.20536   0.29114   0.54312   0.37110  
      	     	          	           	          	           	             	                                      	 0.24047  -1.13888   0.35886   0.53954  
      	     	          	           	          	           	             	                                      	 0.40657   0.32523  -0.87986   0.14806  
      	     	          	           	          	           	             	                                      	 0.25858   0.45517   0.13783  -0.85157  

  #39	12   	-1938.64615	Yes        	4        	4.000    	0.000    	 0.25599   0.16974   0.28607   0.28821	-1.06457   0.29113   0.50099   0.27246  
      	     	          	           	          	           	             	                                      	 0.43906  -1.56836   0.31684   0.81246  
      	     	          	           	          	           	             	                                      	 0.44831   0.18799  -0.76146   0.12516  
      	     	          	           	          	           	             	                                      	 0.24199   0.47848   0.12422  -0.84469  

  #40	12   	-1879.88909	Yes        	4        	4.000    	0.000    	 0.26258   0.20429   0.29479   0.23834	-1.17680   0.26541   0.63745   0.27394  
      	     	          	           	          	           	             	                                      	 0.34113  -1.14368   0.25974   0.54281  
      	     	          	           	          	           	             	                                      	 0.56780   0.18000  -0.83954   0.09173  
      	     	          	           	          	           	             	                                      	 0.30179   0.46527   0.11346  -0.88052  

  #41	12   	-2009.95796	Yes        	4        	4.000    	0.000    	 0.24210   0.19270   0.27432   0.29089	-1.14079   0.30727   0.50765   0.32587  
      	     	          	           	          	           	             	                                      	 0.38604  -1.37016   0.27092   0.71319  
      	     	          	           	          	           	             	                                      	 0.44803   0.19031  -0.76294   0.12460  
      	     	          	           	          	           	             	                                      	 0.27122   0.47245   0.11750  -0.86117  

  #42	12   	-1898.38146	Yes        	4        	4.000    	0.000    	 0.28238   0.19920   0.26458   0.25384	-0.98034   0.32775   0.41988   0.23271  
      	     	          	           	          	           	             	                                      	 0.46461  -1.38843   0.21819   0.70563  
      	     	          	           	          	           	             	                                      	 0.44813   0.16428  -0.76035   0.14794  
      	     	          	           	          	           	             	                                      	 0.25888   0.55375   0.15420  -0.96683  

  #43	12   	-1990.42064	Yes        	4        	4.000    	0.000    	 0.25292   0.18715   0.27289   0.28703	-0.93204   0.31087   0.41014   0.21102  
      	     	          	           	          	           	             	                                      	 0.42011  -1.56137   0.27348   0.86778  
      	     	          	           	          	           	             	                                      	 0.38012   0.18755  -0.75338   0.18570  
      	     	          	           	          	           	             	                                      	 0.18595   0.56582   0.17656  -0.92832  

  #44	12   	-1920.24108	Yes        	4        	4.000    	0.000    	 0.22727   0.19472   0.26904   0.30897	-0.95671   0.29155   0.36872   0.29644  
      	     	          	           	          	           	             	                                      	 0.34029  -1.43403   0.29839   0.79536  
      	     	          	           	          	           	             	                                      	 0.31148   0.21596  -0.78611   0.25868  
      	     	          	           	          	           	             	                                      	 0.21806   0.50125   0.22525  -0.94456  

  #45	12   	-1981.57804	Yes        	4        	4.000    	0.000    	 0.22699   0.23160   0.28528   0.25613	-1.03989   0.31129   0.49511   0.23349  
      	     	          	           	          	           	             	                                      	 0.30510  -1.28993   0.23038   0.75445  
      	     	          	           	          	           	             	                                      	 0.39396   0.18703  -0.70672   0.12574  
      	     	          	           	          	           	             	                                      	 0.20693   0.68217   0.14004  -1.02914  

  #46	12   	-1888.75676	Yes        	4        	4.000    	0.000    	 0.26497   0.16917   0.29966   0.26620	-1.04826   0.26079   0.49043   0.29705  
      	     	          	           	          	           	             	                                      	 0.40846  -1.42468   0.30355   0.71267  
      	     	          	           	          	           	             	                                      	 0.43365   0.17137  -0.77296   0.16794  
      	     	          	           	          	           	             	                                      	 0.29567   0.45292   0.18906  -0.93765  

  #47	12   	-1869.66473	Yes        	4        	4.000    	0.000    	 0.26818   0.17214   0.26327   0.29641	-1.03925   0.32025   0.42758   0.29141  
      	     	          	           	          	           	             	                                      	 0.49893  -1.60765   0.22716   0.88156  
      	     	          	           	          	           	             	                                      	 0.43556   0.14853  -0.69971   0.11562  
      	     	          	           	          	           	             	                                      	 0.26366   0.51196   0.10269  -0.87832  

  #48	12   	-1965.77039	Yes        	4        	4.000    	0.000    	 0.28672   0.20730   0.24410   0.26188	-0.95884   0.36259   0.35609   0.24016  
      	     	          	           	          	           	             	                                      	 0.50152  -1.41585   0.23009   0.68425  
      	     	          	           	          	           	             	                                      	 0.41827   0.19540  -0.75927   0.14560  
      	     	          	           	          	           	             	                                      	 0.26294   0.54163   0.13571  -0.94027  

  #49	12   	-1933.28304	Yes        	4        	4.000    	0.000    	 0.24609   0.19761   0.28444   0.27186	-0.97532   0.39791   0.42716   0.15026  
