"","rn","V1"
"117","OG0000116:",42
"118","OG0000117:",42
"119","OG0000118:",42
"120","OG0000119:",42
"121","OG0000120:",42
"122","OG0000121:",42
"123","OG0000122:",42
"124","OG0000123:",42
"125","OG0000124:",42
"126","OG0000125:",42
"127","OG0000126:",42
"128","OG0000127:",41
"129","OG0000128:",42
"130","OG0000129:",42
"131","OG0000130:",42
"132","OG0000131:",42
"133","OG0000132:",42
"134","OG0000133:",42
"135","OG0000134:",29
"136","OG0000135:",38
"137","OG0000136:",39
"138","OG0000137:",23
"139","OG0000138:",42
"140","OG0000139:",41
"141","OG0000140:",41
"142","OG0000141:",42
"143","OG0000142:",41
"144","OG0000143:",42
"145","OG0000144:",42
"146","OG0000145:",42
"147","OG0000146:",41
"148","OG0000147:",42
"149","OG0000148:",42
"150","OG0000149:",42
"151","OG0000150:",42
"152","OG0000151:",42
"153","OG0000152:",42
"154","OG0000153:",42
"155","OG0000154:",42
"156","OG0000155:",42
"157","OG0000156:",42
"158","OG0000157:",42
"159","OG0000158:",42
"160","OG0000159:",42
"161","OG0000160:",42
"162","OG0000161:",40
"163","OG0000162:",41
"164","OG0000163:",42
"165","OG0000164:",42
"166","OG0000165:",42
"167","OG0000166:",42
"168","OG0000167:",42
"169","OG0000168:",42
"170","OG0000169:",42
"171","OG0000170:",42
"172","OG0000171:",42
"173","OG0000172:",41
"174","OG0000173:",29
"175","OG0000174:",28
"176","OG0000175:",42
"177","OG0000176:",42
"178","OG0000177:",42
"179","OG0000178:",42
"180","OG0000179:",42
"181","OG0000180:",42
"182","OG0000181:",42
"183","OG0000182:",42
"184","OG0000183:",42
"185","OG0000184:",42
"186","OG0000185:",42
"187","OG0000186:",42
"188","OG0000187:",42
"189","OG0000188:",42
"190","OG0000189:",42
"191","OG0000190:",42
"192","OG0000191:",42
"193","OG0000192:",42
"194","OG0000193:",42
"195","OG0000194:",42
"196","OG0000195:",41
"197","OG0000196:",42
"198","OG0000197:",42
"199","OG0000198:",42
"200","OG0000199:",42
"201","OG0000200:",42
"202","OG0000201:",42
"203","OG0000202:",42
"204","OG0000203:",42
"205","OG0000204:",42
"206","OG0000205:",42
"207","OG0000206:",42
"208","OG0000207:",42
"209","OG0000208:",42
"210","OG0000209:",42
"211","OG0000210:",42
"212","OG0000211:",42
"213","OG0000212:",42
"214","OG0000213:",42
"215","OG0000214:",42
"216","OG0000215:",42
"217","OG0000216:",42
"218","OG0000217:",42
"219","OG0000218:",42
"220","OG0000219:",42
"221","OG0000220:",42
"222","OG0000221:",42
"223","OG0000222:",42
"224","OG0000223:",42
"225","OG0000224:",42
"226","OG0000225:",41
"227","OG0000226:",42
"228","OG0000227:",42
"229","OG0000228:",42
"230","OG0000229:",42
"231","OG0000230:",41
"232","OG0000231:",42
"233","OG0000232:",42
"234","OG0000233:",42
"235","OG0000234:",42
"236","OG0000235:",42
"237","OG0000236:",42
"238","OG0000237:",42
"239","OG0000238:",42
"240","OG0000239:",42
"241","OG0000240:",42
"242","OG0000241:",42
"243","OG0000242:",42
"244","OG0000243:",42
"245","OG0000244:",42
"246","OG0000245:",42
"247","OG0000246:",42
"248","OG0000247:",42
"249","OG0000248:",42
"250","OG0000249:",42
"251","OG0000250:",42
"252","OG0000251:",42
"253","OG0000252:",41
"254","OG0000253:",42
"255","OG0000254:",42
"256","OG0000255:",42
"257","OG0000256:",42
"258","OG0000257:",42
"259","OG0000258:",42
"260","OG0000259:",42
"261","OG0000260:",42
"262","OG0000261:",42
"263","OG0000262:",42
"264","OG0000263:",42
"265","OG0000264:",42
