"","x"
"603","OG0000747:"
"604","OG0000786:"
"605","OG0000807:"
"606","OG0000808:"
"607","OG0000890:"
"608","OG0000938:"
"609","OG0000949:"
"610","OG0001077:"
"611","OG0001188:"
"612","OG0001379:"
"613","OG0001429:"
"614","OG0001449:"
"615","OG0001482:"
"616","OG0001536:"
"617","OG0001538:"
"618","OG0001632:"
"619","OG0001652:"
"620","OG0001910:"
"621","OG0001947:"
"622","OG0001972:"
"623","OG0002086:"
"624","OG0002356:"
"625","OG0002364:"
"626","OG0002365:"
"627","OG0002377:"
"628","OG0002378:"
"629","OG0002439:"
"630","OG0002477:"
"631","OG0002598:"
"632","OG0002613:"
"633","OG0002626:"
"634","OG0002655:"
"635","OG0002658:"
"636","OG0002666:"
"637","OG0002667:"
"638","OG0002694:"
"639","OG0000171:"
"640","OG0000185:"
"641","OG0000204:"
"642","OG0000267:"
"643","OG0000303:"
"644","OG0000355:"
"645","OG0000416:"
"646","OG0000435:"
"647","OG0000519:"
"648","OG0000520:"
"649","OG0000641:"
"650","OG0000643:"
"651","OG0000658:"
"652","OG0000680:"
"653","OG0000701:"
"654","OG0000746:"
"655","OG0000793:"
"656","OG0000794:"
"657","OG0000839:"
"658","OG0000950:"
"659","OG0001039:"
"660","OG0001125:"
"661","OG0001236:"
"662","OG0001245:"
"663","OG0001325:"
"664","OG0001380:"
"665","OG0001509:"
"666","OG0001607:"
"667","OG0001735:"
"668","OG0001821:"
"669","OG0001848:"
"670","OG0001865:"
"671","OG0002083:"
"672","OG0002167:"
"673","OG0002199:"
"674","OG0002260:"
"675","OG0002299:"
"676","OG0000038:"
"677","OG0000078:"
"678","OG0000150:"
"679","OG0000160:"
"680","OG0000218:"
"681","OG0000242:"
"682","OG0000266:"
"683","OG0000311:"
"684","OG0000368:"
"685","OG0000369:"
"686","OG0000504:"
"687","OG0000522:"
"688","OG0000584:"
"689","OG0000642:"
"690","OG0000681:"
"691","OG0000691:"
"692","OG0000697:"
"693","OG0000715:"
"694","OG0000734:"
"695","OG0000735:"
"696","OG0000741:"
"697","OG0000805:"
"698","OG0000806:"
"699","OG0000838:"
"700","OG0000889:"
"701","OG0001069:"
"702","OG0001074:"
"703","OG0001138:"
