"","x"
"597","OG0001428:"
"598","OG0001444:"
"599","OG0001483:"
"600","OG0001484:"
"601","OG0001498:"
"602","OG0001503:"
"603","OG0001520:"
"604","OG0001525:"
"605","OG0001533:"
"606","OG0001540:"
"607","OG0001548:"
"608","OG0001595:"
"609","OG0001620:"
"610","OG0001650:"
"611","OG0001652:"
"612","OG0001654:"
"613","OG0001735:"
"614","OG0001745:"
"615","OG0001761:"
"616","OG0001794:"
"617","OG0001814:"
"618","OG0001819:"
"619","OG0001825:"
"620","OG0001831:"
"621","OG0001832:"
"622","OG0001838:"
"623","OG0001850:"
"624","OG0001886:"
"625","OG0001887:"
"626","OG0001909:"
"627","OG0001915:"
"628","OG0001923:"
"629","OG0001948:"
"630","OG0001950:"
"631","OG0001969:"
"632","OG0002003:"
"633","OG0002004:"
"634","OG0002013:"
"635","OG0002016:"
"636","OG0002051:"
"637","OG0002057:"
"638","OG0002058:"
"639","OG0002093:"
"640","OG0002142:"
"641","OG0002152:"
"642","OG0002153:"
"643","OG0002245:"
"644","OG0002246:"
"645","OG0002254:"
"646","OG0002349:"
"647","OG0002394:"
"648","OG0002527:"
"649","OG0002531:"
"650","OG0002538:"
"651","OG0002609:"
"652","OG0002749:"
"653","OG0002751:"
"654","OG0002752:"
"655","OG0002759:"
"656","OG0002762:"
"657","OG0002766:"
"658","OG0002774:"
"659","OG0002776:"
"660","OG0002781:"
"661","OG0002789:"
"662","OG0002791:"
"663","OG0002793:"
"664","OG0002798:"
"665","OG0002803:"
"666","OG0002805:"
"667","OG0002809:"
"668","OG0002811:"
"669","OG0002812:"
"670","OG0002813:"
"671","OG0002815:"
"672","OG0002816:"
"673","OG0002817:"
"674","OG0002818:"
"675","OG0002819:"
"676","OG0002827:"
"677","OG0002830:"
"678","OG0002833:"
"679","OG0002834:"
"680","OG0002836:"
"681","OG0002837:"
"682","OG0002849:"
"683","OG0002850:"
"684","OG0002851:"
"685","OG0002852:"
"686","OG0002855:"
"687","OG0002866:"
"688","OG0002867:"
"689","OG0002868:"
"690","OG0002871:"
"691","OG0003217:"
"692","OG0003233:"
"693","OG0003235:"
"694","OG0003240:"
"695","OG0003247:"
"696","OG0003248:"
"697","OG0003254:"
"698","OG0003256:"
"699","OG0003270:"
"700","OG0003271:"
"701","OG0003274:"
"702","OG0003279:"
"703","OG0003283:"
"704","OG0003286:"
"705","OG0003290:"
"706","OG0003295:"
"707","OG0003662:"
"708","OG0003713:"
"709","OG0003810:"
"710","OG0000023:"
"711","OG0000026:"
"712","OG0000040:"
"713","OG0000041:"
"714","OG0000085:"
"715","OG0000087:"
"716","OG0000102:"
"717","OG0000150:"
"718","OG0000158:"
"719","OG0000161:"
"720","OG0000178:"
"721","OG0000188:"
"722","OG0000211:"
"723","OG0000229:"
"724","OG0000254:"
"725","OG0000283:"
"726","OG0000285:"
"727","OG0000286:"
"728","OG0000295:"
"729","OG0000299:"
"730","OG0000313:"
"731","OG0000356:"
"732","OG0000357:"
"733","OG0000360:"
"734","OG0000369:"
"735","OG0000375:"
"736","OG0000380:"
"737","OG0000391:"
"738","OG0000433:"
"739","OG0000464:"
"740","OG0000473:"
"741","OG0000477:"
"742","OG0000478:"
"743","OG0000482:"
"744","OG0000491:"
"745","OG0000499:"
"746","OG0000500:"
"747","OG0000501:"
"748","OG0000514:"
"749","OG0000525:"
"750","OG0000539:"
"751","OG0000555:"
"752","OG0000557:"
"753","OG0000578:"
"754","OG0000599:"
"755","OG0000617:"
"756","OG0000626:"
"757","OG0000633:"
"758","OG0000638:"
"759","OG0000642:"
"760","OG0000643:"
"761","OG0000655:"
"762","OG0000664:"
"763","OG0000665:"
"764","OG0000684:"
"765","OG0000685:"
"766","OG0000689:"
"767","OG0000696:"
"768","OG0000704:"
"769","OG0000712:"
"770","OG0000714:"
"771","OG0000715:"
"772","OG0000738:"
"773","OG0000741:"
"774","OG0000803:"
"775","OG0000806:"
"776","OG0000807:"
"777","OG0000818:"
"778","OG0000836:"
"779","OG0000837:"
"780","OG0000887:"
"781","OG0000931:"
"782","OG0000932:"
"783","OG0000934:"
"784","OG0000943:"
"785","OG0000956:"
"786","OG0000963:"
"787","OG0000970:"
"788","OG0000971:"
"789","OG0000975:"
"790","OG0000985:"
"791","OG0001000:"
"792","OG0001018:"
"793","OG0001019:"
