"","rn","V1"
"105","OG0000104:",11
"106","OG0000105:",11
"107","OG0000106:",11
"108","OG0000107:",12
"109","OG0000108:",12
"110","OG0000109:",9
"111","OG0000110:",8
"112","OG0000111:",10
"113","OG0000112:",12
"114","OG0000113:",12
"115","OG0000114:",9
"116","OG0000115:",12
"117","OG0000116:",12
"118","OG0000117:",10
"119","OG0000118:",9
"120","OG0000119:",12
"121","OG0000120:",12
"122","OG0000121:",9
"123","OG0000122:",9
"124","OG0000123:",9
"125","OG0000124:",12
"126","OG0000125:",12
"127","OG0000126:",12
"128","OG0000127:",10
"129","OG0000128:",12
"130","OG0000129:",6
"131","OG0000130:",9
"132","OG0000131:",12
"133","OG0000132:",12
"134","OG0000133:",12
"135","OG0000134:",12
"136","OG0000135:",11
"137","OG0000136:",9
"138","OG0000137:",9
"139","OG0000138:",9
"140","OG0000139:",8
"141","OG0000140:",11
"142","OG0000141:",10
"143","OG0000142:",12
"144","OG0000143:",12
"145","OG0000144:",12
"146","OG0000145:",12
"147","OG0000146:",8
"148","OG0000147:",7
"149","OG0000148:",9
"150","OG0000149:",10
"151","OG0000150:",12
"152","OG0000151:",12
"153","OG0000152:",10
"154","OG0000153:",12
"155","OG0000154:",12
"156","OG0000155:",11
"157","OG0000156:",8
"158","OG0000157:",11
"159","OG0000158:",12
"160","OG0000159:",12
"161","OG0000160:",12
"162","OG0000161:",9
"163","OG0000162:",12
"164","OG0000163:",12
"165","OG0000164:",12
"166","OG0000165:",6
"167","OG0000166:",10
"168","OG0000167:",11
"169","OG0000168:",10
"170","OG0000169:",11
"171","OG0000170:",11
"172","OG0000171:",12
"173","OG0000172:",12
"174","OG0000173:",12
"175","OG0000174:",10
"176","OG0000175:",12
"177","OG0000176:",10
"178","OG0000177:",10
"179","OG0000178:",12
"180","OG0000179:",12
"181","OG0000180:",8
"182","OG0000181:",12
"183","OG0000182:",12
"184","OG0000183:",12
"185","OG0000184:",10
"186","OG0000185:",12
"187","OG0000186:",9
"188","OG0000187:",12
"189","OG0000188:",10
"190","OG0000189:",12
"191","OG0000190:",9
"192","OG0000191:",12
"193","OG0000192:",12
"194","OG0000193:",12
"195","OG0000194:",12
"196","OG0000195:",10
"197","OG0000196:",11
"198","OG0000197:",12
"199","OG0000198:",12
"200","OG0000199:",12
"201","OG0000200:",12
"202","OG0000201:",4
"203","OG0000202:",12
"204","OG0000203:",11
"205","OG0000204:",12
"206","OG0000205:",12
"207","OG0000206:",11
"208","OG0000207:",9
"209","OG0000208:",12
"210","OG0000209:",12
"211","OG0000210:",10
"212","OG0000211:",10
"213","OG0000212:",11
"214","OG0000213:",12
"215","OG0000214:",12
"216","OG0000215:",12
"217","OG0000216:",9
"218","OG0000217:",9
"219","OG0000218:",8
"220","OG0000219:",12
"221","OG0000220:",12
"222","OG0000221:",12
"223","OG0000222:",11
"224","OG0000223:",12
"225","OG0000224:",12
"226","OG0000225:",12
"227","OG0000226:",10
"228","OG0000227:",12
"229","OG0000228:",12
"230","OG0000229:",9
"231","OG0000230:",7
"232","OG0000231:",9
"233","OG0000232:",10
"234","OG0000233:",7
"235","OG0000234:",7
"236","OG0000235:",12
"237","OG0000236:",12
"238","OG0000237:",8
"239","OG0000238:",12
"240","OG0000239:",12
"241","OG0000240:",12
"242","OG0000241:",12
"243","OG0000242:",9
"244","OG0000243:",12
"245","OG0000244:",12
"246","OG0000245:",12
"247","OG0000246:",12
"248","OG0000247:",12
"249","OG0000248:",12
"250","OG0000249:",9
"251","OG0000250:",12
"252","OG0000251:",12
"253","OG0000252:",12
"254","OG0000253:",12
"255","OG0000254:",9
"256","OG0000255:",8
"257","OG0000256:",12
"258","OG0000257:",12
"259","OG0000258:",11
"260","OG0000259:",8
"261","OG0000260:",12
"262","OG0000261:",12
