. Sequence file : [all_organisms_full.phylip]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.48780  -1.52159   0.12397   0.90982  
      	     	          	           	          	           	             	                                      	 0.70193   0.09767  -0.97666   0.17706  
      	     	          	           	          	           	             	                                      	 0.44550   0.39425   0.09738  -0.93713  

  #31	3   	-3224662.72833	Yes        	4        	4.000    	0.000    	 0.37598   0.13580   0.17343   0.31478	-0.87618   0.17892   0.32288   0.37438  
      	     	          	           	          	           	             	                                      	 0.49536  -1.52875   0.12192   0.91148  
      	     	          	           	          	           	             	                                      	 0.69995   0.09546  -0.96977   0.17435  
      	     	          	           	          	           	             	                                      	 0.44717   0.39322   0.09606  -0.93645  

  #32	3   	-3226397.63817	Yes        	4        	4.000    	0.000    	 0.37572   0.13632   0.17382   0.31414	-0.87317   0.18018   0.32282   0.37016  
      	     	          	           	          	           	             	                                      	 0.49659  -1.53319   0.12355   0.91305  
      	     	          	           	          	           	             	                                      	 0.69780   0.09690  -0.97088   0.17618  
      	     	          	           	          	           	             	                                      	 0.44272   0.39623   0.09748  -0.93642  

  #33	3   	-3226763.61734	Yes        	4        	4.000    	0.000    	 0.37577   0.13629   0.17354   0.31439	-0.87642   0.17981   0.32524   0.37137  
      	     	          	           	          	           	             	                                      	 0.49576  -1.52962   0.12358   0.91027  
      	     	          	           	          	           	             	                                      	 0.70426   0.09706  -0.97276   0.17145  
      	     	          	           	          	           	             	                                      	 0.44388   0.39463   0.09464  -0.93314  

  #34	3   	-3223846.52223	Yes        	4        	4.000    	0.000    	 0.37606   0.13614   0.17260   0.31521	-0.87229   0.17834   0.32301   0.37094  
      	     	          	           	          	           	             	                                      	 0.49264  -1.53327   0.12187   0.91875  
      	     	          	           	          	           	             	                                      	 0.70378   0.09613  -0.97548   0.17557  
      	     	          	           	          	           	             	                                      	 0.44254   0.39680   0.09613  -0.93548  

  #35	3   	-3231299.45291	Yes        	4        	4.000    	0.000    	 0.37527   0.13617   0.17427   0.31429	-0.87340   0.17856   0.32557   0.36926  
      	     	          	           	          	           	             	                                      	 0.49212  -1.52948   0.12361   0.91375  
      	     	          	           	          	           	             	                                      	 0.70110   0.09659  -0.97548   0.17779  
      	     	          	           	          	           	             	                                      	 0.44091   0.39588   0.09858  -0.93537  

  #36	3   	-3226571.24371	Yes        	4        	4.000    	0.000    	 0.37589   0.13596   0.17328   0.31488	-0.87338   0.18046   0.32242   0.37050  
      	     	          	           	          	           	             	                                      	 0.49894  -1.53699   0.12319   0.91485  
      	     	          	           	          	           	             	                                      	 0.69942   0.09666  -0.97254   0.17647  
      	     	          	           	          	           	             	                                      	 0.44229   0.39501   0.09711  -0.93441  

  #37	3   	-3224470.04844	Yes        	4        	4.000    	0.000    	 0.37548   0.13645   0.17324   0.31483	-0.87482   0.17761   0.32703   0.37019  
      	     	          	           	          	           	             	                                      	 0.48872  -1.52458   0.12489   0.91097  
      	     	          	           	          	           	             	                                      	 0.70878   0.09836  -0.98135   0.17421  
      	     	          	           	          	           	             	                                      	 0.44150   0.39483   0.09586  -0.93219  

  #38	3   	-3224594.91337	Yes        	4        	4.000    	0.000    	 0.37528   0.13643   0.17334   0.31496	-0.87520   0.17855   0.32441   0.37224  
      	     	          	           	          	           	             	                                      	 0.49115  -1.52683   0.12629   0.90940  
      	     	          	           	          	           	             	                                      	 0.70235   0.09940  -0.97632   0.17457  
      	     	          	           	          	           	             	                                      	 0.44353   0.39392   0.09607  -0.93353  

  #39	3   	-3224875.30046	Yes        	4        	4.000    	0.000    	 0.37644   0.13618   0.17308   0.31430	-0.87332   0.17820   0.32421   0.37092  
      	     	          	           	          	           	             	                                      	 0.49260  -1.52907   0.12322   0.91325  
      	     	          	           	          	           	             	                                      	 0.70515   0.09695  -0.97602   0.17391  
      	     	          	           	          	           	             	                                      	 0.44425   0.39568   0.09577  -0.93570  

  #40	3   	-3229793.32417	Yes        	4        	4.000    	0.000    	 0.37559   0.13656   0.17323   0.31462	-0.87611   0.17889   0.32583   0.37139  
      	     	          	           	          	           	             	                                      	 0.49201  -1.52371   0.12265   0.90904  
      	     	          	           	          	           	             	                                      	 0.70645   0.09669  -0.97664   0.17350  
      	     	          	           	          	           	             	                                      	 0.44336   0.39457   0.09553  -0.93345  

  #41	3   	-3226711.30323	Yes        	4        	4.000    	0.000    	 0.37554   0.13634   0.17329   0.31483	-0.87497   0.18008   0.32437   0.37052  
      	     	          	           	          	           	             	                                      	 0.49600  -1.53258   0.12372   0.91285  
      	     	          	           	          	           	             	                                      	 0.70293   0.09734  -0.97390   0.17363  
      	     	          	           	          	           	             	                                      	 0.44196   0.39532   0.09557  -0.93286  

  #42	3   	-3226017.77820	Yes        	4        	4.000    	0.000    	 0.37576   0.13623   0.17343   0.31457	-0.87510   0.17781   0.32459   0.37270  
      	     	          	           	          	           	             	                                      	 0.49044  -1.52207   0.12209   0.90955  
      	     	          	           	          	           	             	                                      	 0.70327   0.09590  -0.97576   0.17659  
      	     	          	           	          	           	             	                                      	 0.44521   0.39390   0.09736  -0.93646  

  #43	3   	-3226044.60023	Yes        	4        	4.000    	0.000    	 0.37624   0.13603   0.17309   0.31465	-0.87357   0.18112   0.32224   0.37020  
      	     	          	           	          	           	             	                                      	 0.50097  -1.53704   0.12211   0.91397  
      	     	          	           	          	           	             	                                      	 0.70046   0.09596  -0.97201   0.17559  
      	     	          	           	          	           	             	                                      	 0.44267   0.39513   0.09659  -0.93440  

  #44	3   	-3226145.26929	Yes        	4        	4.000    	0.000    	 0.37583   0.13620   0.17381   0.31416	-0.87571   0.17971   0.32520   0.37079  
      	     	          	           	          	           	             	                                      	 0.49591  -1.52813   0.12203   0.91020  
      	     	          	           	          	           	             	                                      	 0.70319   0.09562  -0.97312   0.17431  
      	     	          	           	          	           	             	                                      	 0.44357   0.39459   0.09644  -0.93460  

  #45	3   	-3226912.61894	Yes        	4        	4.000    	0.000    	 0.37615   0.13633   0.17307   0.31445	-0.87367   0.17875   0.32396   0.37096  
      	     	          	           	          	           	             	                                      	 0.49318  -1.53008   0.12303   0.91387  
      	     	          	           	          	           	             	                                      	 0.70407   0.09691  -0.97439   0.17341  
      	     	          	           	          	           	             	                                      	 0.44375   0.39620   0.09545  -0.93539  

  #46	3   	-3226864.41521	Yes        	4        	4.000    	0.000    	 0.37557   0.13620   0.17319   0.31504	-0.87291   0.17740   0.32189   0.37362  
      	     	          	           	          	           	             	                                      	 0.48919  -1.53334   0.12582   0.91833  
      	     	          	           	          	           	             	                                      	 0.69802   0.09895  -0.96989   0.17293  
      	     	          	           	          	           	             	                                      	 0.44541   0.39701   0.09507  -0.93748  

  #47	3   	-3228843.59191	Yes        	4        	4.000    	0.000    	 0.37512   0.13588   0.17406   0.31494	-0.87726   0.17984   0.32558   0.37183  
      	     	          	           	          	           	             	                                      	 0.49648  -1.53220   0.12276   0.91296  
      	     	          	           	          	           	             	                                      	 0.70167   0.09584  -0.97093   0.17341  
      	     	          	           	          	           	             	                                      	 0.44289   0.39391   0.09584  -0.93264  

  #48	3   	-3226536.04698	Yes        	4        	4.000    	0.000    	 0.37593   0.13668   0.17343   0.31395	-0.87390   0.17815   0.32443   0.37133  
      	     	          	           	          	           	             	                                      	 0.48998  -1.52385   0.12124   0.91263  
      	     	          	           	          	           	             	                                      	 0.70322   0.09555  -0.97267   0.17390  
      	     	          	           	          	           	             	                                      	 0.44464   0.39732   0.09607  -0.93803  

  #49	3   	-3226303.66465	Yes        	4        	4.000    	0.000    	 0.37574   0.13636   0.17324   0.31466	-0.87519   0.17802   0.32448   0.37268  
      	     	          	           	          	           	             	                                      	 0.49054  -1.52593   0.12268   0.91271  
      	     	          	           	          	           	             	                                      	 0.70376   0.09656  -0.97333   0.17301  
      	     	          	           	          	           	             	                                      	 0.44502   0.39553   0.09525  -0.93581  

  #50	3   	-3224004.65414	Yes        	4        	4.000    	0.000    	 0.37581   0.13619   0.17339   0.31461	-0.87478   0.17935   0.32442   0.37101  
      	     	          	           	          	           	             	                                      	 0.49492  -1.53256   0.12144   0.91620  
      	     	          	           	          	           	             	                                      	 0.70315   0.09538  -0.97117   0.17263  
      	     	          	           	          	           	             	                                      	 0.44319   0.39660   0.09514  -0.93493  

  #51	3   	-3226910.42982	Yes        	4        	4.000    	0.000    	 0.37593   0.13633   0.17325   0.31449	-0.87223   0.17715   0.32383   0.37125  
      	     	          	           	          	           	             	                                      	 0.48851  -1.52605   0.12223   0.91531  
      	     	          	           	          	           	             	                                      	 0.70268   0.09619  -0.97581   0.17694  
      	     	          	           	          	           	             	                                      	 0.44377   0.39677   0.09747  -0.93802  

  #52	3   	-3225104.74793	Yes        	4        	4.000    	0.000    	 0.37551   0.13635   0.17330   0.31485	-0.87525   0.17997   0.32485   0.37043  
      	     	          	           	          	           	             	                                      	 0.49564  -1.52870   0.12010   0.91296  
      	     	          	           	          	           	             	                                      	 0.70388   0.09449  -0.97427   0.17590  
      	     	          	           	          	           	             	                                      	 0.44180   0.39537   0.09682  -0.93399  

  #53	3   	-3223403.12544	Yes        	4        	4.000    	0.000    	 0.37560   0.13598   0.17351   0.31490	-0.87443   0.17836   0.32329   0.37278  
      	     	          	           	          	           	             	                                      	 0.49266  -1.53058   0.12267   0.91525  
      	     	          	           	          	           	             	                                      	 0.69981   0.09614  -0.97128   0.17533  
      	     	          	           	          	           	             	                                      	 0.44464   0.39523   0.09661  -0.93648  

  #54	3   	-3227382.04043	Yes        	4        	4.000    	0.000    	 0.37590   0.13628   0.17306   0.31475	-0.87539   0.17938   0.32443   0.37159  
      	     	          	           	          	           	             	                                      	 0.49475  -1.52748   0.11966   0.91307  
      	     	          	           	          	           	             	                                      	 0.70466   0.09423  -0.97339   0.17449  
      	     	          	           	          	           	             	                                      	 0.44377   0.39535   0.09594  -0.93506  

  #55	3   	-3229357.14712	Yes        	4        	4.000    	0.000    	 0.37557   0.13615   0.17335   0.31494	-0.87588   0.18040   0.32324   0.37224  
      	     	          	           	          	           	             	                                      	 0.49763  -1.53157   0.12299   0.91094  
      	     	          	           	          	           	             	                                      	 0.70032   0.09660  -0.97160   0.17468  
      	     	          	           	          	           	             	                                      	 0.44390   0.39381   0.09615  -0.93385  

  #56	3   	-3224934.41776	Yes        	4        	4.000    	0.000    	 0.37594   0.13618   0.17333   0.31455	-0.87279   0.17896   0.32306   0.37077  
      	     	          	           	          	           	             	                                      	 0.49406  -1.53164   0.12330   0.91429  
      	     	          	           	          	           	             	                                      	 0.70070   0.09687  -0.97401   0.17644  
      	     	          	           	          	           	             	                                      	 0.44314   0.39583   0.09722  -0.93619  

  #57	3   	-3224433.48868	Yes        	4        	4.000    	0.000    	 0.37625   0.13593   0.17324   0.31458	-0.87405   0.17854   0.32442   0.37110  
      	     	          	           	          	           	             	                                      	 0.49419  -1.53188   0.12258   0.91511  
      	     	          	           	          	           	             	                                      	 0.70458   0.09618  -0.97443   0.17367  
      	     	          	           	          	           	             	                                      	 0.44384   0.39542   0.09564  -0.93490  

  #58	3   	-3226676.66556	Yes        	4        	4.000    	0.000    	 0.37569   0.13622   0.17331   0.31478	-0.87461   0.17827   0.32368   0.37266  
