5_32	3_1593	28.45	116	78	2	8	123	3	113	8e-10	50.8
5_32	3_1009	25.86	116	81	3	8	122	3	114	2e-09	49.3
5_32	3_815	26.45	121	80	4	7	125	1	114	4e-09	48.9
5_32	3_162	29.66	118	74	3	10	125	5	115	2e-06	41.6
5_35	3_686	25.89	112	79	2	6	117	4	111	1e-06	45.4
5_35	3_217	27.88	104	72	1	5	108	1	101	1e-06	45.4
5_35	3_1009	32.18	87	49	5	6	87	3	84	7e-04	36.6
5_37	3_0	41.22	245	138	3	122	366	113	351	5e-55	 184
5_38	3_2104	35.86	290	162	8	137	414	130	407	1e-44	 161
5_38	3_1185	29.28	263	166	8	141	388	299	556	3e-24	 102
5_38	3_1589	27.42	186	102	7	356	523	141	311	9e-06	44.3
5_40	3_538	25.69	144	90	5	316	456	183	312	2e-06	45.8
5_41	3_2020	48.70	347	177	1	17	363	8	353	2e-114	 340
5_42	3_2021	38.18	351	201	6	4	350	2	340	1e-78	 244
5_44	3_141	23.72	333	204	13	46	362	13	311	2e-15	72.8
5_45	3_945	45.88	170	90	2	87	255	4	172	1e-43	 147
5_45	3_1617	28.23	124	67	4	154	255	95	218	3e-06	43.9
5_45	3_338	28.07	114	58	4	166	255	69	182	2e-04	37.4
5_45	3_717	42.50	40	23	0	211	250	114	153	5e-04	36.2
5_48	3_463	43.23	421	221	6	1	421	7	409	4e-94	 290
5_50	3_419	25.37	272	185	7	6	273	4	261	8e-22	89.4
5_52	3_466	30.59	546	339	14	4	536	45	563	1e-57	 201
5_52	3_1468	30.64	483	303	11	4	475	32	493	9e-54	 190
5_53	3_912	39.16	143	84	2	31	173	30	169	6e-25	95.1
5_53	3_584	29.85	201	126	6	11	203	10	203	2e-20	82.8
5_54	3_155	27.36	106	77	0	244	349	89	194	8e-10	54.7
5_55	3_1913	45.21	522	254	4	9	529	2	492	1e-148	 436
5_56	3_1171	25.15	167	107	5	30	184	34	194	1e-07	48.1
5_57	3_104	33.12	308	186	6	19	311	9	311	5e-37	 133
5_57	3_1109	32.13	249	156	4	65	304	61	305	4e-35	 128
5_57	3_2100	28.80	309	209	5	14	314	4	309	3e-34	 128
5_57	3_1035	28.85	253	175	2	64	313	71	321	1e-30	 116
5_57	3_347	27.78	216	146	5	64	272	60	272	5e-19	82.4
5_57	3_1359	27.20	250	168	6	66	308	57	299	4e-18	79.3
5_58	3_1378	35.21	142	85	6	17	157	6	141	2e-20	80.9
5_58	3_1250	26.58	158	85	7	15	162	3	139	3e-09	49.3
5_61	3_2132	37.70	862	469	16	14	868	2	802	1e-179	 539
5_61	3_2038	21.01	895	439	28	54	852	44	766	8e-31	 126
5_61	3_1826	30.11	176	111	1	20	183	23	198	2e-21	96.3
5_61	3_414	26.78	183	122	2	44	216	3	183	5e-12	65.9
5_61	3_414	24.74	190	114	5	632	794	308	495	5e-06	46.2
5_69	3_0	37.74	53	33	0	3	55	111	163	2e-06	44.7
5_72	3_2130	26.81	414	277	11	3	390	1	414	9e-39	 142
5_73	3_1534	32.47	231	145	3	30	250	4	233	8e-37	 129
5_73	3_1593	34.55	220	141	2	30	249	3	219	1e-36	 128
5_73	3_2066	34.48	232	143	2	30	252	4	235	6e-36	 127
5_73	3_686	29.87	231	153	3	30	252	4	233	3e-28	 106
5_73	3_162	25.58	215	159	1	32	246	5	218	1e-24	95.9
5_73	3_815	27.03	222	156	4	29	246	1	220	6e-17	73.6
5_73	3_596	28.66	164	101	6	29	183	2	158	1e-12	61.6
5_73	3_1009	26.83	82	59	1	30	110	3	84	6e-05	39.3
5_74	3_1594	24.65	288	196	7	187	467	178	451	2e-20	90.1
5_74	3_1535	26.56	241	161	8	232	468	354	582	2e-18	84.7
5_74	3_687	24.89	221	151	6	232	447	346	556	3e-16	77.4
5_74	3_2065	24.80	250	154	10	228	467	335	560	1e-15	75.5
5_74	3_163	21.30	277	200	7	189	465	192	450	1e-12	65.9
5_75	3_69	21.63	1077	746	20	8	1042	9	1029	9e-60	 219
5_78	3_938	60.28	141	54	2	1	141	1	139	2e-53	 165
