"","x"
"470","OG0000168:"
"471","OG0000171:"
"472","OG0000175:"
"473","OG0000186:"
"474","OG0000187:"
"475","OG0000198:"
"476","OG0000231:"
"477","OG0000322:"
"478","OG0000348:"
"479","OG0000425:"
"480","OG0000481:"
"481","OG0000483:"
"482","OG0000485:"
"483","OG0000488:"
"484","OG0000533:"
"485","OG0000565:"
"486","OG0000566:"
"487","OG0000604:"
"488","OG0000703:"
"489","OG0000741:"
"490","OG0000742:"
"491","OG0000744:"
"492","OG0000751:"
"493","OG0000824:"
"494","OG0000831:"
"495","OG0000872:"
"496","OG0000917:"
"497","OG0000929:"
"498","OG0000933:"
"499","OG0000982:"
"500","OG0000987:"
"501","OG0001004:"
"502","OG0001036:"
"503","OG0001040:"
"504","OG0001053:"
"505","OG0001087:"
"506","OG0001088:"
"507","OG0001094:"
"508","OG0001160:"
"509","OG0001176:"
"510","OG0001332:"
"511","OG0001358:"
"512","OG0001408:"
"513","OG0001430:"
"514","OG0001490:"
"515","OG0001542:"
"516","OG0001575:"
"517","OG0001595:"
"518","OG0001666:"
"519","OG0001726:"
"520","OG0001810:"
"521","OG0001871:"
"522","OG0001907:"
"523","OG0001920:"
"524","OG0002091:"
"525","OG0002221:"
"526","OG0002224:"
"527","OG0002271:"
"528","OG0002285:"
"529","OG0002333:"
"530","OG0002339:"
"531","OG0002730:"
"532","OG0002813:"
"533","OG0002847:"
"534","OG0000047:"
"535","OG0000074:"
"536","OG0000140:"
"537","OG0000257:"
"538","OG0000292:"
"539","OG0000321:"
"540","OG0000326:"
"541","OG0000331:"
"542","OG0000386:"
"543","OG0000390:"
"544","OG0000486:"
"545","OG0000487:"
"546","OG0000500:"
"547","OG0000509:"
"548","OG0000624:"
"549","OG0000638:"
"550","OG0000690:"
"551","OG0000814:"
"552","OG0000825:"
"553","OG0000853:"
"554","OG0000921:"
"555","OG0000931:"
"556","OG0000936:"
"557","OG0000988:"
"558","OG0000989:"
"559","OG0001064:"
"560","OG0001086:"
"561","OG0001090:"
"562","OG0001091:"
"563","OG0001095:"
"564","OG0001117:"
"565","OG0001161:"
"566","OG0001179:"
"567","OG0001195:"
"568","OG0001222:"
"569","OG0001335:"
"570","OG0001343:"
"571","OG0001344:"
"572","OG0001366:"
"573","OG0001388:"
"574","OG0001421:"
"575","OG0001455:"
"576","OG0001503:"
"577","OG0001530:"
"578","OG0001550:"
"579","OG0001562:"
"580","OG0001591:"
"581","OG0001592:"
"582","OG0001599:"
"583","OG0001701:"
"584","OG0001986:"
"585","OG0002090:"
"586","OG0002153:"
"587","OG0002163:"
"588","OG0002225:"
"589","OG0002341:"
"590","OG0002616:"
"591","OG0002737:"
"592","OG0002749:"
"593","OG0000003:"
"594","OG0000164:"
"595","OG0000184:"
"596","OG0000211:"
"597","OG0000254:"
"598","OG0000305:"
"599","OG0000330:"
"600","OG0000389:"
"601","OG0000525:"
"602","OG0000526:"
"603","OG0000528:"
"604","OG0000530:"
"605","OG0000564:"
"606","OG0000605:"
"607","OG0000606:"
"608","OG0000712:"
"609","OG0000761:"
"610","OG0000784:"
"611","OG0000852:"
"612","OG0000854:"
"613","OG0000892:"
"614","OG0000910:"
"615","OG0001089:"
"616","OG0001097:"
"617","OG0001144:"
"618","OG0001145:"
"619","OG0001219:"
"620","OG0001406:"
"621","OG0001481:"
"622","OG0001485:"
"623","OG0001543:"
"624","OG0001687:"
"625","OG0001690:"
"626","OG0001787:"
"627","OG0001850:"
"628","OG0001887:"
"629","OG0001995:"
"630","OG0002008:"
"631","OG0002016:"
"632","OG0002402:"
"633","OG0002521:"
"634","OG0002603:"
"635","OG0002610:"
"636","OG0000161:"
"637","OG0000162:"
"638","OG0000227:"
"639","OG0000314:"
"640","OG0000333:"
"641","OG0000335:"
"642","OG0000349:"
"643","OG0000351:"
"644","OG0000356:"
"645","OG0000357:"
"646","OG0000529:"
"647","OG0000532:"
"648","OG0000535:"
"649","OG0000558:"
"650","OG0000560:"
"651","OG0000561:"
"652","OG0000616:"
"653","OG0000634:"
"654","OG0000635:"
"655","OG0000718:"
"656","OG0000719:"
"657","OG0000759:"
"658","OG0000760:"
"659","OG0000762:"
"660","OG0000891:"
"661","OG0000893:"
"662","OG0000926:"
"663","OG0000935:"
"664","OG0001048:"
"665","OG0001093:"
"666","OG0001100:"
"667","OG0001171:"
"668","OG0001201:"
"669","OG0001376:"
"670","OG0001427:"
"671","OG0001460:"
"672","OG0001522:"
"673","OG0001533:"
"674","OG0001548:"
"675","OG0001549:"
"676","OG0001662:"
"677","OG0001663:"
"678","OG0001700:"
"679","OG0001884:"
"680","OG0001931:"
"681","OG0002237:"
"682","OG0002277:"
"683","OG0000021:"
"684","OG0000119:"
"685","OG0000130:"
"686","OG0000151:"
"687","OG0000176:"
"688","OG0000200:"
"689","OG0000284:"
"690","OG0000308:"
"691","OG0000332:"
